text,novel,narrativeTime,speaker,dialogueTurn,speakerType,author,Turn,idCol,utteranceId,NumTurns,word,row_num,valence,number_emo_words,valence_straight_mean,speaker_word_turn,time_prep,valence_emo_mean,valence_emo_std,valence_in_home_base,valence_dist_home_base,valence_state,valence_disp_num,valence_disp_count,valence_low_disp_count,valence_high_disp_count,valence_peak_dist,valence_is_peak,valence_disp_dist,valence_disp_length,valence_rise_rate,valence_recovery_rate,valence_low_rise_rate,valence_low_recovery_rate,valence_high_rise_rate,valence_high_recovery_rate,speaker_num_steps,rolling_window_step,dialogue_turn,speaker_dialogue_turn,Identifier
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma,9,6,congratulate,113,0.7554000000000001,43,0.7286511627906977,8,0.20512820512820512,0.722974358974359,0.07779532883593754,1.0,0.0,HOME,,5.0,3.0,3.0,0.0,,,,,,,,,,39,10,3,1,bookNovels
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma,9,6,dear,115,0.7794000000000001,43,0.7286511627906977,9,0.23076923076923078,0.722974358974359,0.07779532883593754,1.0,0.0,HOME,,5.0,3.0,3.0,0.0,,,,,,,,,,39,11,3,1,bookNovels
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma,9,6,feel,121,0.8044,43,0.7286511627906977,10,0.2564102564102564,0.722974358974359,0.07779532883593754,0.0,0.003630312189703444,HIGH,1.0,5.0,3.0,3.0,0.00643031218970358,0.0,-2.0,3.0,0.00321515609485179,,,,0.00321515609485179,,39,12,3,1,bookNovels
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma,9,6,pride,122,0.8022,43,0.7286511627906977,11,0.28205128205128205,0.722974358974359,0.07779532883593754,0.0,0.0014303121897034643,HIGH,1.0,5.0,3.0,3.0,0.00643031218970358,0.0,-1.0,3.0,0.00321515609485179,,,,0.00321515609485179,,39,13,3,1,bookNovels
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma,9,6,will,127,0.8072000000000001,43,0.7286511627906977,12,0.3076923076923077,0.722974358974359,0.07779532883593754,0.0,0.00643031218970358,HIGH,1.0,5.0,3.0,3.0,0.00643031218970358,1.0,0.0,3.0,,,,,,,39,14,3,1,bookNovels
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma,9,6,proper,131,0.781,43,0.7286511627906977,13,0.3333333333333333,0.722974358974359,0.07779532883593754,1.0,0.0,HOME,,5.0,3.0,3.0,0.0,,,,,,,,,,39,15,3,1,bookNovels
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma,9,6,will,133,0.7446,43,0.7286511627906977,14,0.358974358974359,0.722974358974359,0.07779532883593754,1.0,0.0,HOME,,5.0,3.0,3.0,0.0,,,,,,,,,,39,16,3,1,bookNovels
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma,9,6,real,135,0.728,43,0.7286511627906977,15,0.38461538461538464,0.722974358974359,0.07779532883593754,1.0,0.0,HOME,,5.0,3.0,3.0,0.0,,,,,,,,,,39,17,3,1,bookNovels
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma,9,6,close,137,0.6406,43,0.7286511627906977,16,0.41025641025641024,0.722974358974359,0.07779532883593754,0.0,0.004579030138421536,LOW,2.0,5.0,3.0,3.0,0.004579030138421536,1.0,0.0,1.0,,,,,,,39,18,3,1,bookNovels
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma,9,6,confirm,140,0.6614000000000001,43,0.7286511627906977,17,0.4358974358974359,0.722974358974359,0.07779532883593754,1.0,0.0,HOME,,5.0,3.0,3.0,0.0,,,,,,,,,,39,19,3,1,bookNovels
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma,9,6,intimacy,141,0.6736,43,0.7286511627906977,18,0.46153846153846156,0.722974358974359,0.07779532883593754,1.0,0.0,HOME,,5.0,3.0,3.0,0.0,,,,,,,,,,39,20,3,1,bookNovels
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma,9,6,alliance,145,0.6731999999999999,43,0.7286511627906977,19,0.48717948717948717,0.722974358974359,0.07779532883593754,1.0,0.0,HOME,,5.0,3.0,3.0,0.0,,,,,,,,,,39,21,3,1,bookNovels
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma,9,6,raise,146,0.7064,43,0.7286511627906977,20,0.5128205128205128,0.722974358974359,0.07779532883593754,1.0,0.0,HOME,,5.0,3.0,3.0,0.0,,,,,,,,,,39,22,3,1,bookNovels
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma,9,6,blush,147,0.7876000000000001,43,0.7286511627906977,21,0.5384615384615384,0.722974358974359,0.07779532883593754,1.0,0.0,HOME,,5.0,3.0,3.0,0.0,,,,,,,,,,39,23,3,1,bookNovels
"Leave it to me. You do nothing. He will be here this evening, I dare say, and then I will give it him back, and some nonsense or other will pass between us, and you shall not be committed.--Your soft eyes shall chuse their own time for beaming. Trust to me.",Emma,0.1404664411607619,Emma,245,major,Jane Austen,11,Emma,11,6,will,155,0.7668,43,0.7286511627906977,22,0.5641025641025641,0.722974358974359,0.07779532883593754,1.0,0.0,HOME,,5.0,3.0,3.0,0.0,,,,,,,,,,39,24,4,2,bookNovels
"Leave it to me. You do nothing. He will be here this evening, I dare say, and then I will give it him back, and some nonsense or other will pass between us, and you shall not be committed.--Your soft eyes shall chuse their own time for beaming. Trust to me.",Emma,0.1404664411607619,Emma,245,major,Jane Austen,11,Emma,11,6,dare,157,0.7308,43,0.7286511627906977,23,0.5897435897435898,0.722974358974359,0.07779532883593754,1.0,0.0,HOME,,5.0,3.0,3.0,0.0,,,,,,,,,,39,25,4,2,bookNovels
"Leave it to me. You do nothing. He will be here this evening, I dare say, and then I will give it him back, and some nonsense or other will pass between us, and you shall not be committed.--Your soft eyes shall chuse their own time for beaming. Trust to me.",Emma,0.1404664411607619,Emma,245,major,Jane Austen,11,Emma,11,6,will,159,0.7312000000000001,43,0.7286511627906977,24,0.6153846153846154,0.722974358974359,0.07779532883593754,1.0,0.0,HOME,,5.0,3.0,3.0,0.0,,,,,,,,,,39,26,4,2,bookNovels
"Leave it to me. You do nothing. He will be here this evening, I dare say, and then I will give it him back, and some nonsense or other will pass between us, and you shall not be committed.--Your soft eyes shall chuse their own time for beaming. Trust to me.",Emma,0.1404664411607619,Emma,245,major,Jane Austen,11,Emma,11,6,nonsense,161,0.597,43,0.7286511627906977,25,0.6410256410256411,0.722974358974359,0.07779532883593754,0.0,0.04817903013842151,LOW,3.0,5.0,3.0,3.0,0.04817903013842151,1.0,0.0,4.0,,,,,,,39,27,4,2,bookNovels
"Leave it to me. You do nothing. He will be here this evening, I dare say, and then I will give it him back, and some nonsense or other will pass between us, and you shall not be committed.--Your soft eyes shall chuse their own time for beaming. Trust to me.",Emma,0.1404664411607619,Emma,245,major,Jane Austen,11,Emma,11,6,will,162,0.597,43,0.7286511627906977,26,0.6666666666666666,0.722974358974359,0.07779532883593754,0.0,0.04817903013842151,LOW,3.0,5.0,3.0,3.0,0.04817903013842151,1.0,1.0,4.0,,0.01605967671280717,,0.01605967671280717,,,39,28,4,2,bookNovels
"Leave it to me. You do nothing. He will be here this evening, I dare say, and then I will give it him back, and some nonsense or other will pass between us, and you shall not be committed.--Your soft eyes shall chuse their own time for beaming. Trust to me.",Emma,0.1404664411607619,Emma,245,major,Jane Austen,11,Emma,11,6,soft,166,0.6093999999999999,43,0.7286511627906977,27,0.6923076923076923,0.722974358974359,0.07779532883593754,0.0,0.03577903013842154,LOW,3.0,5.0,3.0,3.0,0.04817903013842151,0.0,2.0,4.0,,0.01605967671280717,,0.01605967671280717,,,39,29,4,2,bookNovels
"Leave it to me. You do nothing. He will be here this evening, I dare say, and then I will give it him back, and some nonsense or other will pass between us, and you shall not be committed.--Your soft eyes shall chuse their own time for beaming. Trust to me.",Emma,0.1404664411607619,Emma,245,major,Jane Austen,11,Emma,11,6,eyes,167,0.626,43,0.7286511627906977,28,0.717948717948718,0.722974358974359,0.07779532883593754,0.0,0.019179030138421482,LOW,3.0,5.0,3.0,3.0,0.04817903013842151,0.0,3.0,4.0,,0.01605967671280717,,0.01605967671280717,,,39,30,4,2,bookNovels
"Leave it to me. You do nothing. He will be here this evening, I dare say, and then I will give it him back, and some nonsense or other will pass between us, and you shall not be committed.--Your soft eyes shall chuse their own time for beaming. Trust to me.",Emma,0.1404664411607619,Emma,245,major,Jane Austen,11,Emma,11,6,trust,171,0.6639999999999999,43,0.7286511627906977,29,0.7435897435897436,0.722974358974359,0.07779532883593754,1.0,0.0,HOME,,5.0,3.0,3.0,0.0,,,,,,,,,,39,31,4,2,bookNovels
"There is, I believe, in every disposition a tendency to some particular evil, a natural defect, which not even the best education can overcome.",PrideAndPrejudice,0.1756177251378395,Mr. Darcy,310,major,Jane Austen,12,PrideAndPrejudice,12,11,education,181,0.8661999999999999,30,0.6233333333333334,1,0.038461538461538464,0.5851,0.16284066445455198,0.0,0.1061263245633769,HIGH,1.0,5.0,3.0,3.0,0.1061263245633769,1.0,0.0,1.0,,,,,,,26,32,5,1,bookNovels
is wilfully to misunderstand them.,PrideAndPrejudice,0.1764345517663876,Mr. Darcy,312,major,Jane Austen,13,PrideAndPrejudice,13,11,misunderstand,184,0.71,30,0.6233333333333334,2,0.07692307692307693,0.5851,0.16284066445455198,1.0,0.0,HOME,,5.0,3.0,3.0,0.0,,,,,,,,,,26,33,6,2,bookNovels
"How near it may be to _mine_, I cannot pretend to say.--_You_ think it a faithful portrait undoubtedly.",PrideAndPrejudice,0.251991014907086,Mr. Darcy,406,major,Jane Austen,15,PrideAndPrejudice,15,11,faithful,195,0.6998,30,0.6233333333333334,3,0.11538461538461539,0.5851,0.16284066445455198,1.0,0.0,HOME,,5.0,3.0,3.0,0.0,,,,,,,,,,26,34,7,3,bookNovels
